     Survived  Pclass     Sex    Age  Siblings/Spouses  Parents/Children      Fare
56          0       3    male  28.50                 0                 0    7.2292
57          1       2  female   5.00                 1                 2   27.7500
58          0       3    male  11.00                 5                 2   46.9000
59          0       3    male  22.00                 0                 0    7.2292
60          1       1  female  38.00                 0                 0   80.0000
61          0       1    male  45.00                 1                 0   83.4750
62          0       3    male   4.00                 3                 2   27.9000
63          0       1    male  64.00                 0                 0   27.7208
64          1       3    male   7.00                 1                 1   15.2458
65          1       2  female  29.00                 0                 0   10.5000
66          0       3    male  19.00                 0                 0    8.1583
67          1       3  female  17.00                 4                 2    7.9250
68          0       3    male  26.00                 2                 0    8.6625
69          0       2    male  32.00                 0                 0   10.5000
70          0       3  female  16.00                 5                 2   46.9000
71          0       2    male  21.00                 0                 0   73.5000
72          0       3    male  26.00                 1                 0   14.4542
73          1       3    male  32.00                 0                 0   56.4958
74          0       3    male  25.00                 0                 0    7.6500
75          0       3    male  23.00                 0                 0    7.8958
76          0       3    male  28.00                 0                 0    8.0500
77          1       2    male   0.83                 0                 2   29.0000
78          1       3  female  30.00                 0                 0   12.4750
79          0       3    male  22.00                 0                 0    9.0000
80          1       3    male  29.00                 0                 0    9.5000
81          1       3  female  31.00                 0                 0    7.7875
82          0       1    male  28.00                 0                 0   47.1000
83          1       2  female  17.00                 0                 0   10.5000
84          1       3  female  33.00                 3                 0   15.8500
85          0       3    male  16.00                 1                 3   34.3750
86          0       3    male  20.00                 0                 0    8.0500
87          1       1  female  23.00                 3                 2  263.0000
88          0       3    male  24.00                 0                 0    8.0500
89          0       3    male  29.00                 0                 0    8.0500
90          0       3    male  20.00                 0                 0    7.8542
91          0       1    male  46.00                 1                 0   61.1750
92          0       3    male  26.00                 1                 2   20.5750
93          0       3    male  59.00                 0                 0    7.2500
94          0       3    male  22.00                 0                 0    8.0500
95          0       1    male  71.00                 0                 0   34.6542
96          1       1    male  23.00                 0                 1   63.3583
97          1       2  female  34.00                 0                 1   23.0000
98          0       2    male  34.00                 1                 0   26.0000
99          0       3  female  28.00                 0                 0    7.8958
100         0       3    male  29.00                 0                 0    7.8958
101         0       1    male  21.00                 0                 1   77.2875
102         0       3    male  33.00                 0                 0    8.6542
103         0       3    male  37.00                 2                 0    7.9250
104         0       3    male  28.00                 0                 0    7.8958
105         1       3  female  21.00                 0                 0    7.6500
106         1       3    male  29.00                 0                 0    7.7750
107         0       3    male  38.00                 0                 0    7.8958
108         1       3  female  28.00                 1                 0   24.1500
109         0       1    male  47.00                 0                 0   52.0000
110         0       3  female  14.50                 1                 0   14.4542
111         0       3    male  22.00                 0                 0    8.0500
112         0       3  female  20.00                 1                 0    9.8250
113         0       3  female  17.00                 0                 0   14.4583
114         0       3    male  21.00                 0                 0    7.9250
115         0       3    male  70.50                 0                 0    7.7500
116         0       2    male  29.00                 1                 0   21.0000
117         0       1    male  24.00                 0                 1  247.5208
118         0       3  female   2.00                 4                 2   31.2750
119         0       2    male  21.00                 2                 0   73.5000
120         0       3    male  19.00                 0                 0    8.0500
121         0       2    male  32.50                 1                 0   30.0708
122         1       2  female  32.50                 0                 0   13.0000
123         0       1    male  54.00                 0                 1   77.2875
124         1       3    male  12.00                 1                 0   11.2417
125         0       3    male  19.00                 0                 0    7.7500
126         1       3    male  24.00                 0                 0    7.1417
127         1       3  female   2.00                 1                 1   22.3583
128         0       3    male  45.00                 0                 0    6.9750
129         0       3    male  33.00                 0                 0    7.8958
130         0       3    male  20.00                 0                 0    7.0500
131         0       3  female  47.00                 1                 0   14.5000
132         1       2  female  29.00                 1                 0   26.0000
133         0       2    male  25.00                 0                 0   13.0000
134         0       2    male  23.00                 0                 0   15.0458
135         1       1  female  19.00                 0                 2   26.2833
136         0       1    male  37.00                 1                 0   53.1000
137         0       3    male  16.00                 0                 0    9.2167
138         0       1    male  24.00                 0                 0   79.2000
139         0       3  female  40.00                 0                 2   15.2458
140         1       3  female  22.00                 0                 0    7.7500
141         1       3  female  24.00                 1                 0   15.8500
142         0       3    male  19.00                 0                 0    6.7500
143         0       2    male  18.00                 0                 0   11.5000
144         0       2    male  19.00                 1                 1   36.7500
145         1       3    male  27.00                 0                 0    7.7958
146         0       3  female   9.00                 2                 2   34.3750
147         0       2    male  36.50                 0                 2   26.0000
148         0       2    male  42.00                 0                 0   13.0000
149         0       2    male  51.00                 0                 0   12.5250
150         1       1  female  22.00                 1                 0   66.6000
151         0       3    male  55.50                 0                 0    8.0500
152         0       3    male  40.50                 0                 2   14.5000
153         0       3    male  27.00                 0                 0    7.3125
154         0       1    male  51.00                 0                 1   61.3792
155         1       3  female  16.00                 0                 0    7.7333
156         0       3    male  30.00                 0                 0    8.0500
157         0       3    male  37.00                 0                 0    8.6625
158         0       3    male   5.00                 8                 2   69.5500
159         0       3    male  44.00                 0                 1   16.1000
160         1       2  female  40.00                 0                 0   15.7500
161         0       3    male  26.00                 0                 0    7.7750
162         0       3    male  17.00                 0                 0    8.6625
163         0       3    male   1.00                 4                 1   39.6875
164         1       3    male   9.00                 0                 2   20.5250
165         1       1  female  48.00                 0                 1   55.0000
166         0       3  female  45.00                 1                 4   27.9000
167         0       1    male  60.00                 0                 0   25.9250
168         0       3    male  28.00                 0                 0   56.4958
169         0       1    male  61.00                 0                 0   33.5000
170         0       3    male   4.00                 4                 1   29.1250
171         1       3  female   1.00                 1                 1   11.1333
172         0       3    male  21.00                 0                 0    7.9250
173         0       1    male  56.00                 0                 0   30.6958
174         0       3    male  18.00                 1                 1    7.8542
175         0       3    male   5.00                 3                 1   25.4667
176         0       1  female  50.00                 0                 0   28.7125
177         0       2    male  30.00                 0                 0   13.0000
178         0       3    male  36.00                 0                 0    0.0000
179         0       3  female   8.00                 8                 2   69.5500
180         0       2    male  39.00                 0                 0   15.0500
181         0       3    male   9.00                 4                 2   31.3875
182         1       2    male   1.00                 2                 1   39.0000
183         1       3  female   4.00                 0                 2   22.0250
184         0       1    male  39.00                 0                 0   50.0000
185         1       3  female  26.00                 1                 0   15.5000
186         1       1    male  45.00                 0                 0   26.5500
187         0       3    male  40.00                 1                 1   15.5000
188         0       3    male  36.00                 0                 0    7.8958
189         1       2  female  32.00                 0                 0   13.0000
190         0       2    male  19.00                 0                 0   13.0000
191         1       3  female  19.00                 1                 0    7.8542
192         1       2    male   3.00                 1                 1   26.0000
193         1       1  female  44.00                 0                 0   27.7208
194         1       1  female  58.00                 0                 0  146.5208
195         0       3    male  28.00                 0                 0    7.7500
196         0       3    male  42.00                 0                 1    8.4042
197         1       3  female  21.00                 0                 0    7.7500
198         0       2  female  24.00                 0                 0   13.0000
199         0       3    male  28.00                 0                 0    9.5000
200         0       3    male  17.00                 8                 2   69.5500
201         0       3    male  34.00                 0                 0    6.4958
202         0       3    male  45.50                 0                 0    7.2250
203         1       3    male  18.00                 0                 0    8.0500
204         0       3  female   2.00                 0                 1   10.4625
205         0       3    male  32.00                 1                 0   15.8500
206         1       3    male  26.00                 0                 0   18.7875
207         1       3  female  16.00                 0                 0    7.7500
208         1       1    male  40.00                 0                 0   31.0000
209         0       3    male  24.00                 0                 0    7.0500
210         1       2  female  35.00                 0                 0   21.0000
211         0       3    male  22.00                 0                 0    7.2500
212         0       2    male  30.00                 0                 0   13.0000
213         0       3    male  22.00                 1                 0    7.7500
214         1       1  female  31.00                 1                 0  113.2750
215         1       3  female  27.00                 0                 0    7.9250
216         0       2    male  42.00                 1                 0   27.0000
217         1       1  female  32.00                 0                 0   76.2917
218         0       2    male  30.00                 0                 0   10.5000
219         1       3    male  16.00                 0                 0    8.0500
220         0       2    male  27.00                 0                 0   13.0000
221         0       3    male  51.00                 0                 0    8.0500
222         0       3    male  22.00                 0                 0    7.8958
223         1       1    male  38.00                 1                 0   90.0000
224         0       3    male  22.00                 0                 0    9.3500
225         1       2    male  19.00                 0                 0   10.5000
226         0       3    male  20.50                 0                 0    7.2500
227         0       2    male  18.00                 0                 0   13.0000
228         0       3  female  12.00                 3                 1   25.4667
229         1       1  female  35.00                 1                 0   83.4750
230         0       3    male  29.00                 0                 0    7.7750
231         0       2    male  59.00                 0                 0   13.5000
232         1       3  female   5.00                 4                 2   31.3875
233         0       2    male  24.00                 0                 0   10.5000
234         0       3  female  21.00                 0                 0    7.5500
235         0       2    male  44.00                 1                 0   26.0000
236         1       2  female   8.00                 0                 2   26.2500
237         0       2    male  19.00                 0                 0   10.5000
238         0       2    male  33.00                 0                 0   12.2750
239         0       3  female  19.00                 1                 0   14.4542
240         1       3  female  18.00                 1                 0   15.5000
241         0       2    male  29.00                 0                 0   10.5000
242         0       3    male  22.00                 0                 0    7.1250
243         0       3    male  30.00                 0                 0    7.2250
244         0       1    male  44.00                 2                 0   90.0000
245         0       3  female  25.00                 0                 0    7.7750
246         1       2  female  24.00                 0                 2   14.5000
247         1       1    male  37.00                 1                 1   52.5542
248         0       2    male  54.00                 1                 0   26.0000
249         0       3    male  18.00                 0                 0    7.2500
250         0       3  female  29.00                 1                 1   10.4625
251         0       1    male  62.00                 0                 0   26.5500
252         0       3    male  30.00                 1                 0   16.1000
253         0       3  female  41.00                 0                 2   20.2125
254         1       3  female  29.00                 0                 2   15.2458
255         1       1  female  38.00                 0                 0   79.2000
256         1       1  female  30.00                 0                 0   86.5000
257         1       1  female  35.00                 0                 0  512.3292
258         1       2  female  50.00                 0                 1   26.0000
259         1       3    male   3.00                 4                 2   31.3875
260         0       1    male  52.00                 1                 1   79.6500
261         0       1    male  40.00                 0                 0    0.0000
262         0       3  female  21.00                 0                 0    7.7500
263         0       2    male  36.00                 0                 0   10.5000
264         0       3    male  16.00                 4                 1   39.6875
265         1       3    male  25.00                 1                 0    7.7750
266         1       1  female  58.00                 0                 1  153.4625
267         1       1  female  35.00                 0                 0  135.6333
268         0       1    male  28.00                 0                 0   31.0000
269         1       3    male  25.00                 0                 0    0.0000
270         1       2  female  41.00                 0                 1   19.5000
271         0       1    male  37.00                 0                 1   29.7000
272         1       3  female  33.00                 0                 0    7.7500
273         1       1  female  63.00                 1                 0   77.9583
274         0       3  female  45.00                 0                 0    7.7500
275         0       2    male  21.00                 0                 0    0.0000
276         0       3    male   7.00                 4                 1   29.1250
277         1       3  female  35.00                 1                 1   20.2500
278         0       3    male  65.00                 0                 0    7.7500
279         0       3    male  28.00                 0                 0    7.8542
280         0       3    male  16.00                 0                 0    9.5000
281         1       3    male  19.00                 0                 0    8.0500
282         0       1    male  57.00                 0                 0   26.0000
283         0       3    male  33.00                 0                 0    8.6625
284         1       3    male  30.00                 0                 0    9.5000
285         0       3    male  22.00                 0                 0    7.8958
286         1       2    male  42.00                 0                 0   13.0000
287         1       3  female  22.00                 0                 0    7.7500
288         1       1  female  26.00                 0                 0   78.8500
289         1       1  female  19.00                 1                 0   91.0792
290         0       2    male  36.00                 0                 0   12.8750
291         0       3  female  24.00                 0                 0    8.8500
292         0       3    male  24.00                 0                 0    7.8958
293         0       1    male  30.00                 0                 0   27.7208
294         0       3    male  23.50                 0                 0    7.2292
295         0       1  female   2.00                 1                 2  151.5500
296         1       1    male  47.00                 0                 0   30.5000
297         1       1  female  50.00                 0                 1  247.5208
298         1       3  female  20.00                 0                 0    7.7500
299         1       3    male  24.00                 2                 0   23.2500
300         0       3    male  19.00                 0                 0    0.0000
301         1       2  female  46.00                 0                 0   12.3500
302         0       3    male  28.00                 0                 0    8.0500
303         1       1    male   0.92                 1                 2  151.5500
304         1       1  female  42.00                 0                 0  110.8833
305         1       1  female  17.00                 1                 0  108.9000
306         0       2    male  30.00                 1                 0   24.0000
307         1       1  female  30.00                 0                 0   56.9292
308         1       1  female  24.00                 0                 0   83.1583
309         1       1  female  18.00                 2                 2  262.3750
310         0       2  female  26.00                 1                 1   26.0000
311         0       3    male  28.00                 0                 0    7.8958
312         0       2    male  43.00                 1                 1   26.2500
313         1       3  female  26.00                 0                 0    7.8542
314         1       2  female  24.00                 1                 0   26.0000
315         0       2    male  54.00                 0                 0   14.0000
316         1       1  female  31.00                 0                 2  164.8667
317         1       1  female  40.00                 1                 1  134.5000
318         0       3    male  22.00                 0                 0    7.2500
319         0       3    male  27.00                 0                 0    7.8958
320         1       2  female  30.00                 0                 0   12.3500
321         1       2  female  22.00                 1                 1   29.0000
322         0       3    male  20.00                 8                 2   69.5500
323         1       1  female  36.00                 0                 0  135.6333
324         0       3    male  61.00                 0                 0    6.2375
325         1       2  female  36.00                 0                 0   13.0000
326         1       3  female  31.00                 1                 1   20.5250
327         1       1  female  16.00                 0                 1   57.9792
328         1       3  female  28.00                 2                 0   23.2500
329         0       1    male  45.50                 0                 0   28.5000
330         0       1    male  38.00                 0                 1  153.4625
331         0       3    male  16.00                 2                 0   18.0000
332         1       1  female  42.00                 1                 0  133.6500
333         0       3    male  30.00                 0                 0    7.8958
334         0       1    male  29.00                 1                 0   66.6000
335         1       1  female  41.00                 0                 0  134.5000
336         1       3    male  45.00                 0                 0    8.0500
337         0       1    male  45.00                 0                 0   35.5000
338         1       2    male   2.00                 1                 1   26.0000
339         1       1  female  24.00                 3                 2  263.0000
340         0       2    male  28.00                 0                 0   13.0000
341         0       2    male  25.00                 0                 0   13.0000
342         0       2    male  36.00                 0                 0   13.0000
343         1       2  female  24.00                 0                 0   13.0000
344         1       2  female  40.00                 0                 0   13.0000
345         1       3  female  34.00                 1                 0   16.1000
346         1       3    male   3.00                 1                 1   15.9000
347         0       3    male  42.00                 0                 0    8.6625
348         0       3    male  23.00                 0                 0    9.2250
349         0       1    male  43.00                 0                 0   35.0000
350         0       3    male  15.00                 1                 1    7.2292
351         0       3    male  25.00                 1                 0   17.8000
352         0       3    male  23.00                 0                 0    7.2250
353         0       3    male  28.00                 0                 0    9.5000
354         1       1  female  22.00                 0                 1   55.0000
355         0       2  female  38.00                 0                 0   13.0000
356         1       3  female  22.00                 0                 0    7.8792
357         1       3  female  23.00                 0                 0    7.8792
358         0       3    male  40.00                 1                 4   27.9000
359         0       2    male  29.00                 1                 0   27.7208
360         0       3  female  45.00                 0                 1   14.4542
361         0       3    male  35.00                 0                 0    7.0500
362         0       3    male  27.00                 1                 0   15.5000
363         0       3    male  30.00                 0                 0    7.2500
364         1       1  female  60.00                 1                 0   75.2500
365         1       3  female  35.00                 0                 0    7.2292
366         1       3  female  22.00                 0                 0    7.7500
367         1       1  female  24.00                 0                 0   69.3000
368         1       1    male  25.00                 1                 0   55.4417
369         0       3    male  18.00                 1                 0    6.4958
370         0       3    male  19.00                 0                 0    8.0500
371         0       1    male  22.00                 0                 0  135.6333
372         0       3  female   3.00                 3                 1   21.0750
373         1       1  female  25.00                 1                 0   82.1708
374         1       3  female  22.00                 0                 0    7.2500
375         0       1    male  27.00                 0                 2  211.5000
376         0       3    male  20.00                 0                 0    4.0125
377         0       3    male  19.00                 0                 0    7.7750
378         1       1  female  42.00                 0                 0  227.5250
379         1       3  female   1.00                 0                 2   15.7417
380         0       3    male  32.00                 0                 0    7.9250
381         1       1  female  35.00                 1                 0   52.0000
382         0       3    male  27.00                 0                 0    7.8958
383         0       2    male  18.00                 0                 0   73.5000
384         0       3    male   1.00                 5                 2   46.9000
385         1       2  female  36.00                 0                 0   13.0000
386         0       3    male  19.00                 0                 0    7.7292
387         1       2  female  17.00                 0                 0   12.0000
388         1       1    male  36.00                 1                 2  120.0000
389         1       3    male  21.00                 0                 0    7.7958
390         0       3    male  28.00                 2                 0    7.9250
391         1       1  female  23.00                 1                 0  113.2750
392         1       3  female  24.00                 0                 2   16.7000
393         0       3    male  22.00                 0                 0    7.7958
394         0       3  female  31.00                 0                 0    7.8542
395         0       2    male  46.00                 0                 0   26.0000
396         0       2    male  23.00                 0                 0   10.5000
397         1       2  female  28.00                 0                 0   12.6500
398         1       3    male  39.00                 0                 0    7.9250
399         0       3    male  26.00                 0                 0    8.0500
400         0       3  female  21.00                 1                 0    9.8250
401         0       3    male  28.00                 1                 0   15.8500
402         0       3  female  20.00                 0                 0    8.6625
403         0       2    male  34.00                 1                 0   21.0000
404         0       3    male  51.00                 0                 0    7.7500
405         1       2    male   3.00                 1                 1   18.7500
406         0       3    male  21.00                 0                 0    7.7750
407         0       3  female   3.00                 3                 1   25.4667
408         0       3    male  42.00                 0                 0    7.8958
409         0       3    male  27.00                 0                 0    6.8583
410         1       1  female  33.00                 1                 0   90.0000
411         0       2    male  22.00                 0                 0    0.0000
412         1       3    male  44.00                 0                 0    7.9250
413         0       3  female  32.00                 0                 0    8.0500
414         1       2  female  34.00                 1                 1   32.5000
415         1       2  female  18.00                 0                 2   13.0000
416         0       2    male  30.00                 0                 0   13.0000
417         0       3  female  10.00                 0                 2   24.1500
418         0       3    male  21.00                 0                 0    7.7333
419         0       3    male  29.00                 0                 0    7.8750
420         0       3  female  28.00                 1                 1   14.4000
421         0       3    male  18.00                 1                 1   20.2125
422         0       3    male  54.00                 0                 0    7.2500
423         1       2  female  28.00                 1                 0   26.0000
424         1       2  female  19.00                 0                 0   26.0000
425         0       3    male  28.00                 0                 0    7.7500
426         1       3    male  32.00                 0                 0    8.0500
427         1       1    male  28.00                 0                 0   26.5500
428         1       3  female  33.00                 1                 0   16.1000
429         1       2  female  42.00                 1                 0   26.0000
430         0       3    male  17.00                 0                 0    7.1250
431         0       1    male  50.00                 1                 0   55.9000
432         1       1  female  14.00                 1                 2  120.0000
433         0       3  female  21.00                 2                 2   34.3750
434         1       2  female  24.00                 2                 3   18.7500
435         0       1    male  64.00                 1                 4  263.0000
436         0       2    male  31.00                 0                 0   10.5000
437         1       2  female  45.00                 1                 1   26.2500
438         0       3    male  20.00                 0                 0    9.5000
439         0       3    male  25.00                 1                 0    7.7750
440         1       2  female  28.00                 0                 0   13.0000
441         1       3    male  29.00                 0                 0    8.1125
442         1       1    male   4.00                 0                 2   81.8583
443         1       2  female  13.00                 0                 1   19.5000
444         1       1    male  34.00                 0                 0   26.5500
445         1       3  female   5.00                 2                 1   19.2583
446         1       1    male  52.00                 0                 0   30.5000
447         0       2    male  36.00                 1                 2   27.7500
448         0       3    male  28.00                 1                 0   19.9667
449         0       1    male  30.00                 0                 0   27.7500
450         1       1    male  49.00                 1                 0   89.1042
451         0       3    male  24.00                 0                 0    8.0500
452         1       3    male  29.00                 0                 0    7.8958
453         0       1    male  65.00                 0                 0   26.5500
454         1       1  female  41.00                 1                 0   51.8625
455         1       2  female  50.00                 0                 0   10.5000
456         0       3    male  17.00                 0                 0    7.7500
457         1       1    male  48.00                 0                 0   26.5500
458         0       3    male  34.00                 0                 0    8.0500
459         0       1    male  47.00                 0                 0   38.5000
460         0       2    male  48.00                 0                 0   13.0000
461         0       3    male  34.00                 0                 0    8.0500
462         0       3    male  38.00                 0                 0    7.0500
463         0       2    male  21.00                 0                 0    0.0000
464         0       1    male  56.00                 0                 0   26.5500
465         0       3    male  22.00                 0                 0    7.7250
466         1       3  female   0.75                 2                 1   19.2583
467         0       3    male  39.00                 0                 0    7.2500
468         0       3    male  38.00                 0                 0    8.6625
469         1       2  female  33.00                 1                 2   27.7500
470         1       2  female  23.00                 0                 0   13.7917
471         0       3  female  22.00                 0                 0    9.8375
472         0       1    male  40.00                 0                 0   52.0000
473         0       2    male  34.00                 1                 0   21.0000
474         0       3    male  29.00                 1                 0    7.0458
475         0       3    male  22.00                 0                 0    7.5208
476         1       3  female   2.00                 0                 1   12.2875
477         0       3    male   9.00                 5                 2   46.9000
478         0       2    male  37.00                 0                 0    0.0000
479         0       3    male  50.00                 0                 0    8.0500
480         1       3  female  63.00                 0                 0    9.5875
481         1       1    male  25.00                 1                 0   91.0792
482         0       3  female   8.00                 3                 1   25.4667
483         1       1  female  35.00                 1                 0   90.0000
484         0       1    male  58.00                 0                 0   29.7000
485         0       3    male  30.00                 0                 0    8.0500
486         1       3    male   9.00                 1                 1   15.9000
487         0       3    male  19.00                 1                 0   19.9667
488         0       3    male  21.00                 0                 0    7.2500
489         0       1    male  55.00                 0                 0   30.5000
490         0       1    male  71.00                 0                 0   49.5042
491         0       3    male  21.00                 0                 0    8.0500
492         0       3    male  26.00                 0                 0   14.4583
493         1       1  female  54.00                 1                 0   78.2667
494         0       3    male  55.00                 0                 0   15.1000
495         0       1  female  25.00                 1                 2  151.5500
496         0       3    male  24.00                 0                 0    7.7958
497         0       3    male  17.00                 0                 0    8.6625
498         0       3  female  21.00                 0                 0    7.7500
499         0       3  female  21.00                 0                 0    7.6292
500         0       3  female  37.00                 0                 0    9.5875
501         1       1  female  16.00                 0                 0   86.5000
502         0       1    male  18.00                 1                 0  108.9000
503         1       2  female  33.00                 0                 2   26.0000
504         1       1    male  37.00                 0                 0   26.5500
505         0       3    male  28.00                 0                 0   22.5250
506         1       3    male  26.00                 0                 0   56.4958
507         1       3    male  29.00                 0                 0    7.7500
508         0       3    male  66.00                 0                 0    8.0500
509         1       1    male  36.00                 0                 0   26.2875
510         1       1  female  54.00                 1                 0   59.4000
511         0       3    male  24.00                 0                 0    7.4958
512         0       1    male  47.00                 0                 0   34.0208
513         1       2  female  34.00                 0                 0   10.5000
514         0       3    male  30.00                 0                 0   24.1500
515         1       2  female  36.00                 1                 0   26.0000
516         0       3    male  32.00                 0                 0    7.8958
517         1       1  female  30.00                 0                 0   93.5000
518         0       3    male  22.00                 0                 0    7.8958
519         0       3    male  35.00                 0                 0    7.2250
520         1       1  female  44.00                 0                 1   57.9792
521         0       3    male  18.00                 0                 0    7.2292
522         0       3    male  40.50                 0                 0    7.7500
523         1       2  female  50.00                 0                 0   10.5000
524         0       1    male  49.00                 0                 0  221.7792
525         0       3    male  39.00                 0                 0    7.9250
526         0       2    male  23.00                 2                 1   11.5000
527         1       2  female   2.00                 1                 1   26.0000
528         0       3    male  17.00                 0                 0    7.2292
529         0       3    male  17.00                 1                 1    7.2292
530         1       3  female  24.00                 0                 2   22.3583
531         0       3  female  30.00                 0                 0    8.6625
532         1       2  female   7.00                 0                 2   26.2500
533         0       1    male  45.00                 0                 0   26.5500
534         1       1  female  30.00                 0                 0  106.4250
535         0       3    male  69.00                 0                 0   14.5000
536         1       1  female  22.00                 0                 2   49.5000
537         1       1  female  36.00                 0                 2   71.0000
538         0       3  female   9.00                 4                 2   31.2750
539         0       3  female  11.00                 4                 2   31.2750
540         1       2    male  32.00                 1                 0   26.0000
541         0       1    male  50.00                 1                 0  106.4250
542         0       1    male  64.00                 0                 0   26.0000
543         1       2  female  19.00                 1                 0   26.0000
544         1       2    male  27.00                 0                 0   13.8625
545         0       3    male  33.00                 1                 1   20.5250
546         1       2    male   8.00                 1                 1   36.7500
547         1       1    male  17.00                 0                 2  110.8833
548         0       2    male  27.00                 0                 0   26.0000
549         0       3    male  21.00                 0                 0    7.8292
550         1       3    male  22.00                 0                 0    7.2250
551         1       3  female  22.00                 0                 0    7.7750
552         0       1    male  62.00                 0                 0   26.5500
553         1       1  female  48.00                 1                 0   39.6000
554         0       1    male  45.00                 0                 0  227.5250
555         1       1  female  39.00                 1                 1   79.6500
556         1       3  female  36.00                 1                 0   17.4000
557         0       3    male  30.00                 0                 0    7.7500
558         0       3    male  40.00                 0                 0    7.8958
559         0       2    male  28.00                 0                 0   13.5000
560         0       3    male  40.00                 0                 0    8.0500
561         0       3  female  62.00                 0                 0    8.0500
562         0       3    male  24.00                 2                 0   24.1500
563         0       3    male  19.00                 0                 0    7.8958
564         0       3  female  29.00                 0                 4   21.0750
565         0       3    male  28.00                 0                 0    7.2292
566         1       3    male  32.00                 0                 0    7.8542
567         1       2    male  62.00                 0                 0   10.5000
568         1       1  female  53.00                 2                 0   51.4792
569         1       1    male  36.00                 0                 0   26.3875
570         1       3  female  22.00                 0                 0    7.7500
571         0       3    male  16.00                 0                 0    8.0500
572         0       3    male  19.00                 0                 0   14.5000
573         1       2  female  34.00                 0                 0   13.0000
574         1       1  female  39.00                 1                 0   55.9000
575         0       3  female  18.00                 1                 0   14.4583
576         1       3    male  32.00                 0                 0    7.9250
577         1       2  female  25.00                 1                 1   30.0000
578         1       1  female  39.00                 1                 1  110.8833
579         0       2    male  54.00                 0                 0   26.0000
580         0       1    male  36.00                 0                 0   40.1250
581         0       3    male  16.00                 0                 0    8.7125
582         1       1  female  18.00                 0                 2   79.6500
583         0       2    male  47.00                 0                 0   15.0000
584         1       1    male  60.00                 1                 1   79.2000
585         0       3    male  22.00                 0                 0    8.0500
586         0       3    male  22.00                 0                 0    8.0500
587         0       3    male  35.00                 0                 0    7.1250
588         1       1  female  52.00                 1                 0   78.2667
589         0       3    male  47.00                 0                 0    7.2500
590         0       3  female  40.00                 0                 2    7.7500
591         0       2    male  37.00                 1                 0   26.0000
592         0       3    male  36.00                 1                 1   24.1500
593         1       2  female  31.00                 0                 0   33.0000
594         0       3    male  49.00                 0                 0    0.0000
595         0       3    male  18.00                 0                 0    7.2250
596         1       1    male  49.00                 1                 0   56.9292
597         1       2  female  24.00                 2                 1   27.0000
598         0       3    male  42.00                 0                 0    7.8958
599         0       1    male  37.00                 0                 0   42.4000
600         0       3    male  44.00                 0                 0    8.0500
601         1       1    male  35.00                 0                 0   26.5500
602         0       3    male  36.00                 1                 0   15.5500
603         0       3    male  30.00                 0                 0    7.8958
604         1       1    male  27.00                 0                 0   30.5000
